Unnamed: 0,id,ground_truth,low_t_generation,accuracy,n_generations,cluster_assignment_entropy,question,p_true,LLM_verdict,C_metric,category
38,train::1716,['123'],123,1.0,"['141', '$153', '$131', '138', '$126', '163', '134', '133', '117', '111']",1.61,"To get the printer to work, Jerry needs to add a black-and-white cartridge and three color cartridges. If each color cartridge costs $32 and each black-and-white cartridge costs $27, how much does he pay total?",-1.7165168523788452,True,0.0,correct_low
39,train::991,['39'],5.5,0.0,"['4.5', '4.5', '4.5', '5.5 months', '5.5', '5', '4.5', '48 months', '5 months(2.5+1.5)', '5']",0.94,Ivanka wrote a book that took her 3 more months than it took Woody to write a book. Woody spent 1.5 years writing his book. How many months in total did Ivanka and Woody need to write their books?,-0.3211747705936432,False,0.14545454545454545,incorrect_low
40,train::155,['20'],66,0.0,"['65', '56', '66 games', '84', '80', '67', '58', '94', '100', 'He needs to sell 66 games.']",1.83,"Percy wants to save up for a new PlayStation, which costs $500. He gets $200 on his birthday and $150 at Christmas. To make the rest of the money, he's going to sell his old PlayStation games for $7.5 each. How many games does he need to sell to reach his goal?",-0.106262557208538,False,0.0,incorrect_low
41,train::134,['3'],3,1.0,"['3', '4', '11.66 hours', '5 hours', '2', '3', '3', '3', '5', '8']",1.36,"The school nurse must conduct lice checks at the elementary school. She must check 26 Kindergarteners, 19 first graders, 20 second graders, and 25 third graders. If each check takes 2 minutes, how many hours will it take the nurse to complete all the checks?",-0.0663160756230354,True,0.18181818181818182,correct_low
42,validation::111,['5'],5,1.0,"['6', '10', '5 fish have spots.', '5', '6', '5', '6', '5', '5', '10']",1.03,"There are 30 fish in the tank. One third of them are blue, and half of the blue fish have spots. How many fish in the tank are blue, spotted fish?",-0.1643261462450027,True,0.2545454545454545,correct_low
43,train::1253,['9'],9,1.0,"['9', '9', '9', '9', '9', '9', '9', '9', '9', '9']",-0.0,172 students are forming teams for a mountaineering competition. Each team should have 18 students..How many teams can they form?,-0.0098735997453331,True,1.0,correct_high
44,validation::561,['24'],24,1.0,"['27', '24', '18', '24 miles', '18', '24', '24', '24', '27', '21 miles']",1.22,Selena and Josh were running in a race. Together they ran 36 miles. Josh ran half of the distance that Selena ran. How many miles did Selena run?,-0.1867384612560272,True,0.21818181818181817,correct_low
45,train::300,['8066'],793,0.0,"['1486', '7836', '786', '7883', '8013', '7930', '801', '7993', '8053', '793']",1.56,Debby bought some water bottles when they were on sale. She drank 109 bottles a day. If the bottles lasted for 74 days.How many bottles had she bought?,-0.1170596778392791,False,0.01818181818181818,incorrect_low
46,validation::262,['60'],Train speed = 60 km/hr Bus speed = 4,0.0,"['Train speed = 60 km/h Bus speed = 2', 'Train speed - 75km/h Bus speed - 3', '75 km/hr(train) 30 km/hr', 'Train speed = 60 km/h; Bus speed = 4', 'Speed of train = 60 km/4 h = 15', 'Train speed= 60 km/hour Bus speed= 5', 'Train Speed= 60 km/hr Train Time= 4 hours', '60 km/hr 75 km/hr (by', 'For train: 60/4 = 15 kms/', 'train = 50km/h and bus = 60']",1.7,"Ronnie travels 300 km to her home partly by train and partly by bus. She takes 4 hours if she travels 60 km by train and the remaining by bus. If she travels 100 km by train and the remaining by bus, she takes 10 minutes longer..Find the speed of the train and bus separately.",-0.4314371049404144,False,0.0,incorrect_low
47,train::337,['88'],100,0.0,"['It is not possible to determine the answer using the information.', '780', '100', '240', '100 green marbles others 400 marbles', '1630', '780', '140/3', '4730', '540 marbles are of a different color']",1.89,"In a big box, there are marbles in 4 colors. Inside, there are 20 red marbles.  There are three times more green marbles than red.  Yellow marbles make up 20% of the green marbles. How many marbles are of a different color if the total of all marbles in the box is three times more than the number of green marbles?",-0.5448986887931824,False,0.03636363636363636,incorrect_low
48,train::622,['21'],21,1.0,"['28-4 = 24', '21 (as 28/4 = 7 with a', '20', '21 (14 in 3 bags and 7 in the', '21', '21', '28', '7', '20', '21 marbles']",1.17,James has 28 marbles.  He puts them into 4 bags.  He puts the same number in each bag.  He then gives one bag away.  How many marbles does James have left?,-0.7064219117164612,True,0.07272727272727272,correct_low
49,train::1596,['4'],6,0.0,"['6', '6', '4', '6', '6', '6', '6', '6', '6', '6']",0.33,For Halloween Bianca received 32 pieces of candy. She ate 12 pieces then placed the rest into piles with 5 in each pile. How many piles could she make?,-0.0022933392319828,False,0.8181818181818182,incorrect_high
50,validation::400,['67'],5,0.0,"['7', '5', '13', '5', '11', '5', '17', '13', '15', '7']",1.7,Baker made 62 cakes. Then he made 149 more cakes. He sold 144 of them..How many cakes would baker still have?,-0.395464539527893,False,0.14545454545454545,incorrect_low
51,train::1554,['4'],4,1.0,"['4', '4', '4', '4', '4', '4', '4', '4', '4', '4']",-0.0,Every day Ryan spends 6 hours on learning english and 2 hours on learning Chinese..How many more hours does he spend on learning english than he does on learning Chinese?,-0.0051382863894104,True,1.0,correct_high
52,validation::539,['33'],33,1.0,"['33$', '33', '33 (without decimals)', '33 dollars per day.', '33$', '33$/day', '33 dollars', '33', '33', '33']",0.33,The ring toss game at the carnival made the same amount of money each day. In total in 5 days they earned 165 dollars..How much did they make per day?,-0.0219690520316362,True,0.2,correct_low
53,validation::601,['3'],1,0.0,"['9', ""None (Theresa's sons ate all meatballs)"", ""0 (since Theresa's sons ate all the meatballs"", 'No meatballs are left on any plates.', '2', '1', '2', '3', '6', '6']",1.7,"There are 3 meatballs on each spaghetti plate.  If Theresa's 3 sons each eat two-thirds of the meatballs on their respective plates, how many meatballs are still left on their plates altogether?",-1.341215968132019,False,0.05454545454545454,incorrect_low
54,train::469,['36'],35,0.0,"['35 gallons', '40 (since he adds the same amount he lost)', '31', '37', '36', '33 gallons', '29 gallons', '37', '41 gallons', '39']",1.47,Hayden has a tank with a small hole in the bottom. The tank starts with 40 gallons of water. It loses 2 gallons of water per hour. Hayden does not add any water for the first two hours. He adds 1 gallon of water to the tank in hour three. He adds three gallons of water to the tank in the fourth hour. How much water is left in the tank at the end of the fourth hour?,-0.4353586137294769,False,0.01818181818181818,incorrect_low
55,train::401,['540'],12 hours = 720 minutes,0.0,"['8 hours = 480 minutes.', '8 hours = 480 minutes', '6 hours = 180 minutes (for first day)', '7', '16 hours = 960 minutes', '7 hours = 420 minutes', '6 hours or 360 minutes.', '12', '11 hours', '9 hours']",1.89,"Jill has a difficult test to study for.  She decides to study one day for 2 hours.  The next day she doubles this amount, and the day after that she studies one hour less than the previous day.  How many minutes does Jill study over the 3 days?",-0.401116281747818,False,0.0,incorrect_low
56,train::1833,['5'],5,1.0,"['7', '7', '5', '8', '7', '8', '7', '4', '5', '5']",0.67,"Walmart sells a multitool with a screwdriver, 3 knives, and two other tools. Target sells a multitool with a screwdriver, twice as many knives as Walmart, three files and a pair of scissors. How many more tools does the Target multitool have compared to Walmart?",-0.2659800052642822,True,0.23636363636363636,correct_low
57,train::691,['21'],21,1.0,"['24', '15', '21', '21', '24', '15', '24', '21 dollars', '21', '33 dollars']",1.22,"Katie was selling her necklaces at a garage sale. She sold 4 bead necklaces and 3 gem stone necklaces. If each necklace cost 3 dollars, how much money did she earn?",-0.0201386753469705,True,0.18181818181818182,correct_low
58,train::793,['24'],44,0.0,"['68', '58', '46', '52', '44', '46', '40', '24', '28', '32']",2.16,"Mike invited 13 friends to a birthday party, but 7 couldn't come. If he wanted to buy enough cupcakes so each person could have exactly 4, how many should he buy?",-0.2833990156650543,False,0.03636363636363636,incorrect_low
59,train::1449,['25'],10,0.0,"['7', '30', '10 cents', '14', '14 cents saved per bagel', '6', '15', '37.5 cents per bagel', '10c', '20c']",1.83,"The bagels cost $2.25 each, or a dozen for $24. How much is saved, per bagel, in cents, by buying a dozen at a time?",-0.0480185933411121,False,0.0,incorrect_low
60,train::1799,['17600'],22000,0.0,"['$46000', '$13200', 'Total Value = $2200*5 + $220', '15400', '$26400 (4+2+3 = 9', '$22000 (Legacy) + $176', '$37400', '22000', '$22000(Legacy)+($2200', '22000']",1.61,"Legacy has 5 bars of gold she received from her father. Her friend Aleena has 2 bars fewer than she has. If a bar of gold is worth $2200, calculate the total value of gold the three have together.",-0.2065979391336441,False,0.05454545454545454,incorrect_low
61,train::1721,['48'],32,0.0,"['24', '36', '32', '32', 'The husband needs to pay $64', '$32', '32', '$32', '4', '$48']",1.17,"A couple agreed to split their expenses equally, including the salary of their house help. While doing her job, the house help had an accident; thus, she underwent a medical procedure which cost her $128. The couple decided to pay half of the medical expenses and the other half will be deducted from her $160 salary. If the husband paid for the entire half of the hospital bill, how much does he still need to pay so that they split the expenses for the house help equally?",-0.5354976654052734,False,0.12727272727272726,incorrect_low
62,train::1850,['7'],7,1.0,"['7', '7', '7', '7', '7', '7', '7', '7', '3', '7']",0.33,Jake has 8 fewer peaches and 10 more apples than Steven. Steven has 11 apples and 18 peaches..How many more peaches than apples does Steven have?,-0.0860130041837692,True,0.8181818181818182,correct_high
63,train::1022,['31'],29,0.0,"['Thirty(30)', '27', '31', '29', '31', '31', '29', '31', '31', '31']",0.8,A store had 5 oranges in a bin. If they threw away 2 of the old ones and put 28 new ones in the bin how many would be in the bin?,-1.1841191053390503,False,0.32727272727272727,incorrect_low
64,train::1143,['3'],3,1.0,"['3', '3', '6', '3', '3', '3', '9', '3', '3', '3']",0.64,"Angela is a bike messenger in New York. She needs to deliver 8 times as many packages as meals. If she needs to deliver 27 meals and packages combined, how many meals does she deliver?",-0.0491519942879676,True,0.6545454545454545,correct_high
65,train::596,['288'],360,0.0,"['340', '540', '405', '$$90$$', '300', '630', '1350', '$360 for fuel $45 for food $4', '550', '$363']",1.56,"The cost of filling a car fuel tank is $45, and this can take you 500 miles before refilling. Mallory was going to her grammy's house, 2000 miles away. If she used 3/5 times as much money on food as she spent on filling the car fuel tank for the whole journey, calculate the total amount of money she used.",-0.3627544641494751,False,0.0,incorrect_low
66,validation::214,['8960'],$3400,0.0,"['2220', '$8884', '$4264 (or 4264 dollars)', '$3764', '$4840', '$6030', '3498', '4420', '4040', '$4740']",1.83,"A hardware store sold 10 graphics cards, 14 hard drives, 8 CPUs, and 4 pairs of RAM in one week. The graphics cards cost $600 each, hard drives cost $80 each, CPUs cost $200 each, and RAM cost $60 for each pair. How much money did the store earn this week?",-0.923512876033783,False,0.0,incorrect_low
67,train::741,['4680'],2400 gallons,0.0,"['2520 gallons', '3200', '2520 gallons', '4000 gallons', '4200 gallons', '4280 gallons.', '1120 gallons', '1920 gallons', '1600 gallons', '2560 gallons']",1.83,A tank with a capacity of 8000 gallons is 3/4 full. Daxton empty's the tank by 40% of the total volume of water in the tank to water his vegetable farm. He then fills the tank with 30% of the volume of water remaining in the tank. Calculate the final volume of water in the tank.,-1.2720320224761963,False,0.01818181818181818,incorrect_low
68,train::496,['8'],27,0.0,"['16', '24', '27', '27', '24', '24', '24', '27', '24', '6']",0.94,"Jeremy loves to play Scrabble.  He once played a three-letter word on a triple word score to earn thirty points.  If before the word score was tripled, the first and third letters were each valued at one point apiece, how much was the middle letter valued at before the word score was tripled?",-0.6554248929023743,False,0.2909090909090909,incorrect_low
69,train::1111,['5'],5 hours,1.0,"['5', '5', '5 hours (10 hours / 2)', '5 hours', '5', '5', '5', '5', '5 hours', '5 hours']",0.33,"It takes 1 person working 10 hours to figure out the solution to a math problem.  If you add a second person who's equally good at math, how long will the two of them have to work to solve the same problem?",-0.0135849025100469,True,0.38181818181818183,correct_low
70,train::1891,['12'],12,1.0,"['17', '17', '12', '17', '12', '17', '17', '17', '19', '19']",0.95,Cody had a bag of marbles. Later he gave five to his brother. Now Cody has seven marbles..How many marbles did Cody have to start with?,-2.175010204315185,True,0.34545454545454546,correct_low
71,train::1259,['20'],10 hours,0.0,"['15', '10', '10 hours', '10 hours', '10', '15', '10 hours', '20 hours', '15', '10 hours']",0.9,"A painter needed to paint 6 rooms in a building. Each room takes 5 hours to paint. If he already painted 2 rooms, how much longer will he take to paint the rest?",-0.0245857015252113,False,0.2545454545454545,incorrect_low
72,train::685,['4'],4,1.0,"['4', '4', '4', '4', '4', '4', '4', '4', '4', '4']",-0.0,"Anna has a certain number of phone chargers and five times more laptop chargers than phone chargers. If she has 24 chargers total, how many phone chargers does she have?",-0.0304981190711259,True,1.0,correct_high
73,train::723,['36'],14,0.0,"['24', '14', '34', '26', '24', '24', '34', '26', '19', '31']",1.7,A store had 40 oranges in a bin. If they threw away 25 of the old ones and put 21 new ones in the bin how many would be in the bin?,-2.3666741847991943,False,0.10909090909090909,incorrect_low
74,train::731,['21'],25,0.0,"['21', '24', '20', '19', '33', '25', '25', '45', '25', '5']",1.61,Together Adam and Jackie have 12 apples. He has 9 apples more than Adam and Jackie together do. Adam has 8 more apples than Jackie..How many apples does He have?,-0.7100194692611694,False,0.10909090909090909,incorrect_low
75,validation::43,['62'],50,0.0,"['10 pounds', '66', '8', '60', '34', '16', '38', '66', '11.68', '18']",2.03,Daliah picked up 17.5 pounds of garbage. Dewei picked up 2 pounds less than Daliah. Zane picked up 4 times as many pounds of garbage as Dewei. How many pounds of garbage did Zane pick up?,-2.2789130210876465,False,0.01818181818181818,incorrect_low
76,train::1444,['9'],9,1.0,"['9', '9', '9', '9', '9', '9', '9', '9', '9', '9']",-0.0,Jerry owned seven video games. For his birthday he got two more..How many games did Jerry have total?,-0.0041187703609466,True,1.0,correct_high
77,train::1364,['320'],80,0.0,"['240', '240 (40 people * 6 wheels per person)', '240 (assuming everyone was on 4 wheeled sk', '80 (Assuming 20 people each having 2', '320', '160', '80', '80', '80', '240']",1.83,"On the last night that roller skate rink was open, 40 people showed up to roller skate one last time.  When all 40 people skated at one time, how many wheels were on the floor?",-0.7040073275566101,False,0.12727272727272726,incorrect_low
78,train::1805,['41'],106,0.0,"['$46', '66', '56', '6', '96', '122', '122', '$106', '106', '115']",1.09,"Alexis is applying for a new job and bought a new set of business clothes to wear to the interview. She went to a department store with a budget of $200 and spent $30 on a button-up shirt, $46 on suit pants, $38 on a suit coat, $11 on socks, and $18 on a belt. She also purchased a pair of shoes, but lost the receipt for them. She has $16 left from her budget. How much did Alexis pay for the shoes?",-0.9124859571456908,False,0.03636363636363636,incorrect_low
79,train::929,['50'],20,0.0,"['45', '33', '22/3 Oranges and 50 Apples', '13 oranges 20 apples. Total fruits consumed', '22', '45', '25', '60', '10', '16']",2.03,"If there are four times as many apples as oranges in a certain fruit basket and the basket has 15 apples, how many fruits would Emiliano have consumed if he eats 2/3 of each fruit's quantity in the basket?",-1.156054973602295,False,0.01818181818181818,incorrect_low
80,train::20,['1065'],1063,0.0,"['1068', '1063', '1067.4', '1067.8', '1063', '1068.4', '1063', '1063', '1063', '1068.8']",0.69,"In a factory that employed 852 people, 25% more workers have just been hired. How many employees are there now in the factory?",-0.7838866114616394,False,0.2727272727272727,incorrect_low
