id,ground_truth,low_t_generation,accuracy,n_generations,cluster_assignment_entropy,question,p_true,LLM_verdict,DSE_threshold,DSE_b_entropy,category_dse
train::10018,['Brie Larson'],Brie Larson,1.0,"['Brie Larson', 'Brie Larson', 'Brie Larson', 'Brie Larson', 'Brie Larson', 'Brie Larson', 'Brie Larson', 'Brie Larson', 'Brie Larson', 'Brie Larson']",-0.0,who plays captain marvel in the new avengers movie?,-0.0298308357596397,True,0.32561809404461245,0,correct_high
train::10019,['Methuselah'],Methuselah,1.0,"['Methuselah', 'Methuselah', 'Methuselah', 'Methuselah', 'Methuselah', 'Methuselah', 'Methuselah', 'Methuselah', 'Methuselah', 'Methuselah']",-0.0,who was the oldest man that lived in the bible?,-0.0010555178159847,True,0.32561809404461245,0,correct_high
train::1002,['Saikhom Mirabai Chanu'],"Jazmin Sawyers (England, Long Jump)",0.0,"['Soosairajah Jeganathan', 'Jaxon Bowden (shooting)', 'Jazmin Sawyers (England, Long Jump)', 'Shelina Zaza', 'Jaxon Burns (Weightlifting)', 'Priya Sidhu (shooting)', 'Pistorius, Jacques (shooting)', 'Pooja Jatyan (shooting)', 'Jazmin Sawyers', 'Weightlifter Purnima Pandey']",2.302585092994045,who won first gold medal in commonwealth games 2018?,-1.0538899898529053,False,0.32561809404461245,1,incorrect_low
train::10021,['libra'],"From *libra pondo*, Latin for ""pound weight"".",0.0,"['From *libra*, the Roman unit of weight.', 'From *libra*, the Roman unit of weight.', 'From *libra*, the Roman unit of weight.', 'From *libra*, the Roman unit of weight.', 'From *libra pondo*, Latin for ""pound weight"".', 'From *libra pondo*, Latin for ""pound weight"".', 'From *libra*, the Roman unit of weight.', 'From the Latin word *libra*.', 'From *libra pondō*, the Latin for ""pound weight"".', 'From the Latin word *libra*.']",1.0296530140645737,why is the short form of pounds lbs?,-0.0098184747621417,True,0.32561809404461245,1,correct_low
train::10022,['Grace VanderWaal'],Grace VanderWaal,1.0,"['Grace VanderWaal', 'Grace VanderWaal', 'Grace VanderWaal', 'Grace VanderWaal', 'Grace VanderWaal', 'Grace VanderWaal', 'Grace VanderWaal', 'Grace VanderWaal', 'Grace VanderWaal', 'Grace VanderWaal']",-0.0,who won america's got talent 2016 winner?,-0.0010657589882612,True,0.32561809404461245,0,correct_high
train::10024,['1824'],1866,0.0,"['1866', '1866', '1866', '1866', '1866', '1866', '1866', '1866', '1866', '1866']",-0.0,when was the first bolt action rifle invented?,-0.5761390924453735,False,0.32561809404461245,0,incorrect_high
train::10027,['the Greek term homoousios'],Of the same substance.,0.0,"['Of the same substance.', 'Of the same substance.', 'Of the same substance.', 'Of the same substance.', 'Of the same substance.', 'Of the same substance.', 'Of the same substance.', 'Of the same substance.', 'Of the same substance.', 'Of the same substance.']",-0.0,consubstantial with the father in the creed means what?,-0.0010587330907583,True,0.32561809404461245,0,correct_high
train::10028,['Richard Thompson'],Richard Thompson,1.0,"['Richard Thompson', 'Richard Thompson', 'Richard Thompson', 'Richard Thompson', 'Richard Thompson', 'Richard Thompson', 'Richard Thompson', 'Richard Thompson', 'Richard Thompson', 'Richard Thompson']",-0.0,who wrote the song dimming of the day?,-0.020634040236473,True,0.32561809404461245,0,correct_high
train::1003,"['March 30, 2018']","March 30, 2018",1.0,"['March 30, 2018', 'March 30, 2018', 'March 30, 2018', 'March 30, 2018', 'March 30, 2018', 'March 30, 2018', 'March 30, 2018', 'March 30, 2018', 'March 30, 2018', 'March 30, 2018']",-0.0,when does season 2 of a series of unfortunate events come out?,-0.0052963658235967,True,0.32561809404461245,0,correct_high
train::10030,['Dan Stevens'],Dan Stevens,1.0,"['Dan Stevens', 'Dan Stevens', 'Dan Stevens', 'Dan Stevens', 'Dan Stevens', 'Dan Stevens', 'Dan Stevens', 'Dan Stevens', 'Dan Stevens', 'Dan Stevens']",-0.0,the beast from beauty and the beast 2017?,-0.0206148885190486,True,0.32561809404461245,0,correct_high
train::10033,['2017'],2019,0.0,"['2019', '2019', '2019', '2019', '2019', '2019', '2019', '2019', '2019', '2019']",-0.0,when was last time houston went to world series?,-0.0263798665255308,False,0.32561809404461245,0,incorrect_high
train::10034,['Montell Jordan'],Montell Jordan,1.0,"['Montell Jordan', 'Montell Jordan', 'Montell Jordan', 'Montell Jordan', 'Montell Jordan', 'Montell Jordan', 'Montell Jordan', 'Montell Jordan', 'Montell Jordan', 'Montell Jordan']",-0.0,who made this is how we do it?,-0.0019854849670082,True,0.32561809404461245,0,correct_high
train::10036,"['Clinton', 'Baton Rouge, Louisiana']","Natchez, Mississippi.",0.0,"['Mississippi and Louisiana.', 'Natchez, Mississippi.', 'Natchez, Mississippi.', 'Mississippi & Tennessee.', 'Natchez, Mississippi.', 'Natchez, Mississippi', 'Natchez, Mississippi', 'Natchez, Mississippi.', 'Mississippi and Louisiana.', 'Mississippi and Louisiana.']",0.8979457248567797,where was the movie the long hot summer filmed?,-0.0125811472535133,False,0.32561809404461245,1,incorrect_low
train::10038,['Bhutan'],Bhutan,1.0,"['Bhutan', 'Bhutan', 'Bhutan', 'Bhutan', 'Bhutan', 'Bhutan', 'Bhutan', 'Bhutan', 'Bhutan', 'Bhutan']",-0.0,gho is the national clothes of which country?,-0.000454203429399,True,0.32561809404461245,0,correct_high
train::10039,['Japan'],Volume 8.,0.0,"['Volume 8.', 'Volume 8.', 'Volume 8.', 'Volume 8.', 'Volume 8.', 'Volume 8.', 'Volume 8.', 'Volume 8.', 'Volume 8.', 'Volume 8.']",-0.0,kiss him not me where does the anime end in the manga?,-0.0233266223222017,False,0.32561809404461245,0,incorrect_high
train::1004,"['Bill Danoff', 'Taffy Danoff']",John Denver,0.0,"['John Denver', 'John Denver', 'John Denver', 'John Denver', 'John Denver', 'John Denver', 'John Denver', 'John Denver', 'John Denver', 'John Denver']",-0.0,who wrote please daddy don't get drunk this christmas?,-5.379902362823486,False,0.32561809404461245,0,incorrect_high
train::10040,['osteoblasts'],Cortical bone.,0.0,"['Cortical bone.', 'Cortical bone.', 'Compact bone.', 'Compact bone.', 'Cortical bone.', 'Cortical bone.', 'Cortical bone', 'Cortical bone.', 'Compact bone.', 'Cortical bone.']",0.6108643020548935,what type of bone is located near the surface of the bones?,-0.00413099816069,False,0.32561809404461245,1,incorrect_low
train::10042,['11 March 2016'],"March 11, 2016",1.0,"['March 11, 2016', 'March 11, 2016', 'March 11, 2016', 'March 11, 2016', 'March 11, 2016', 'March 11, 2016', 'March 11, 2016', 'March 11, 2016', 'March 11, 2016', 'March 11, 2016']",-0.0,when did the samsung galaxy s7 edge come out?,-0.0015282867243513,True,0.32561809404461245,0,correct_high
train::10045,['J.C. Bamford Excavators Limited'],Joseph Cyril Bamford,0.0,"['Joseph Cyril Bamford', 'Joseph Cyril Bamford', 'Joseph Cyril Bamford', 'Joseph Cyril Bamford', 'Joseph Cyril Bamford', 'Joseph Cyril Bamford', 'Joseph Cyril Bamford', 'Joseph Cyril Bamford', 'Joseph Cyril Bamford', 'Joseph Cyril Bamford']",-0.0,what is the full name of jcb machine?,-0.0008206575294025,True,0.32561809404461245,0,correct_high
train::10047,['Portuguese'],Portugal.,0.0,"['Portugal.', 'Portugal.', 'Portugal.', 'Portugal.', 'Portugal.', 'Portugal.', 'Portugal.', 'Portugal.', 'Portugal.', 'Portugal.']",-0.0,where does the last name sequeira come from?,-0.002234345069155,True,0.32561809404461245,0,correct_high
train::1005,['Donny Osmond'],Donny Osmond,1.0,"['Donny Osmond', 'Donny Osmond', 'Donny Osmond', 'Donny Osmond', 'Donny Osmond', 'Donny Osmond', 'Donny Osmond', 'Donny Osmond', 'Donny Osmond', 'Donny Osmond']",-0.0,who sings ill make a man out of you?,-2.930119752883911,True,0.32561809404461245,0,correct_high
train::10050,['Claudia Wells'],Claudia Wells,1.0,"['Claudia Wells', 'Claudia Wells', 'Claudia Wells', 'Claudia Wells', 'Claudia Wells', 'Claudia Wells', 'Claudia Wells', 'Claudia Wells', 'Claudia Wells', 'Claudia Wells']",-0.0,who plays jennifer in back to the future 1?,-0.2255953997373581,True,0.32561809404461245,0,correct_high
train::10052,"['Edward Fournier', 'Michael Gray', 'Kim Carnes']",Ray Charles,0.0,"['Ray Charles', 'Ray Charles', 'Ray Charles', 'Ray Charles', 'Ray Charles', 'Ray Charles', 'Bill Cosby', 'Bill Cosby', 'Bill Cosby', 'Ray Charles']",0.6108643020548935,who sang the theme song for fat albert?,-2.017885208129883,False,0.32561809404461245,1,incorrect_low
train::10053,['1937'],1937,1.0,"['1937', '1937', '1937', '1937', '1937', '1937', '1937', '1937', '1937', '1937']",-0.0,when did war admiral win the triple crown?,-0.0621141605079174,True,0.32561809404461245,0,correct_high
train::10058,['Citi Field'],Citi Field,1.0,"['Citi Field', 'Citi Field', 'Citi Field', 'Citi Field', 'Citi Field', 'Citi Field', 'Citi Field', 'Citi Field', 'Citi Field', 'Citi Field']",-0.0,where do the new york mets play their home games?,-0.0004546800628304,True,0.32561809404461245,0,correct_high
train::10059,['Yathrib'],Yathrib,1.0,"['Yathrib', 'Yathrib', 'Yathrib', 'Yathrib', 'Yathrib', 'Yathrib.', 'Yathrib.', 'Yathrib', 'Yathrib', 'Yathrib']",-0.0,what is the old name of madina tul munawarh?,-0.0004507479316089,True,0.32561809404461245,0,correct_high
train::1006,['Richard Dunne'],Richard Dunne,1.0,"['Richard Dunne', 'Richard Dunne', 'Richard Dunne', 'Richard Dunne', 'Richard Dunne', 'Richard Dunne', 'Richard Dunne', 'Richard Dunne', 'Richard Dunne', 'Richard Dunne']",-0.0,who has scored the most own goals in the premier league?,-0.0059739369899034,True,0.32561809404461245,0,correct_high
train::10063,['an Abstergo agent'],Edward Kenway,0.0,"['Edward Kenway', 'Edward Kenway', 'Edward Kenway', 'Edward Kenway', 'Edward Kenway', 'Edward Kenway', 'Edward Kenway', 'Edward Kenway', 'Edward Kenway', 'Edward Kenway']",-0.0,who do you play as in assassins creed 4?,-0.0009411911014467,False,0.32561809404461245,0,incorrect_high
train::10066,['iron'],Iron.,1.0,"['Iron.', 'Iron', 'Iron.', 'Iron.', 'Iron.', 'Iron.', 'Iron.', 'Iron.', 'Iron.', 'Iron.']",-0.0,the core of the earth is believed to consist of 88.8 of what?,-0.0022333934903144,True,0.32561809404461245,0,correct_high
train::10067,"['Chandler', 'Monica']",Monica and Chandler.,1.0,"['Monica and Chandler.', 'Monica and Chandler', 'Monica and Chandler.', 'Monica and Chandler', 'Monica and Chandler.', 'Monica and Chandler.', 'Monica and Chandler', 'Monica and Chandler.', 'Monica and Chandler.', 'Monica and Chandler.']",-0.0,who got married in the cast of friends?,-0.0005943200667388,True,0.32561809404461245,0,correct_high
train::10068,"['August 12, 1908']","October 1, 1908",0.0,"['October 1, 1908', 'October 1, 1908', 'October 1, 1908', 'October 1, 1908', 'October 1, 1908', 'October 1, 1908', 'October 1, 1908', 'October 1, 1908', 'October 1, 1908', 'October 1, 1908']",-0.0,when was the first ford model t made?,-0.0046634245663881,False,0.32561809404461245,0,incorrect_high
train::10069,['Hans Florian Zimmer'],Klaus Badelt,0.0,"['Klaus Badelt', 'Klaus Badelt', 'Klaus Badelt', 'Klaus Badelt', 'Klaus Badelt', 'Klaus Badelt', 'Klaus Badelt', 'Klaus Badelt', 'Klaus Badelt', 'Klaus Badelt']",-0.0,who is the music director of pirates of the caribbean?,-0.160376638174057,True,0.32561809404461245,0,correct_high
train::10071,['Maulana Azad'],Maulana Abul Kalam Azad,1.0,"['Maulana Abul Kalam Azad', 'Maulana Abul Kalam Azad', 'Maulana Abul Kalam Azad', 'Maulana Abul Kalam Azad', 'Maulana Abul Kalam Azad', 'Maulana Abul Kalam Azad', 'Maulana Abul Kalam Azad', 'Maulana Abul Kalam Azad', 'Maulana Abul Kalam Azad', 'Maulana Abul Kalam Azad']",-0.0,who is the author of 'india wins freedom'?,-0.0010502781951799,True,0.32561809404461245,0,correct_high
train::10073,"['Africa', 'South America', 'Australia', 'North America', 'Asia', 'Europe', 'Antarctica']","Asia, Africa, North America, South America, Antarctica, Europe, Australia",0.0,"['Asia, Africa, North America, South America, Antarctica, Europe, Australia', 'Asia, Africa, North America, South America, Antarctica, Europe, Australia', 'Asia, Africa, North America, South America, Antarctica, Europe, Australia', 'Asia, Africa, North America, South America, Antarctica, Europe, Australia', 'Asia, Africa, North America, South America, Antarctica, Europe, Australia', 'Asia, Africa, North America, South America, Antarctica, Europe, Australia', 'Asia, Africa, North America, South America, Antarctica, Europe, Australia', 'Asia, Africa, North America, South America, Antarctica, Europe, Australia', 'Asia, Africa, North America, South America, Antarctica, Europe, Australia', 'Asia, Africa, North America, South America, Antarctica, Europe, Australia']",-0.0,what are the names of the earth's seven continents from largest to smallest?,-0.0098032467067241,True,0.32561809404461245,0,correct_high
train::10076,['the Passions'],Petula Clark,0.0,"['Petula Clark', 'Petula Clark', 'Petula Clark', 'Petula Clark', 'Petula Clark', 'Petula Clark', 'Petula Clark', 'Petula Clark', 'Petula Clark', 'Petula Clark']",-0.0,who sang im in love with a german film star?,-0.0067710005678236,False,0.32561809404461245,0,incorrect_high
train::10077,['June 1992'],1992,1.0,"['1992', '1992', '1992', '1992', '1992', '1992', '1992', '1992', '1992', '1992']",-0.0,when was the first earth summit un conference?,-0.0046711373142898,True,0.32561809404461245,0,correct_high
train::10078,['SS United States'],SS United States,1.0,"['SS United States', 'SS United States', 'SS United States', 'SS United States', 'SS United States', 'SS United States', 'SS United States', 'SS United States', 'SS United States', 'SS United States']",-0.0,what is the old cruise ship in philadelphia?,-0.0263754539191722,True,0.32561809404461245,0,correct_high
train::1008,['Refrigeration'],Refrigeration.,1.0,"['Refrigeration', 'Refrigeration.', 'Refrigeration', 'Refrigeration', 'Refrigeration.', 'Refrigeration.', 'Refrigeration.', 'Refrigeration', 'Refrigeration', 'Refrigeration']",-0.0,what does the r in hvacr systems refer to?,-0.0004185754223726,True,0.32561809404461245,0,correct_high
train::10081,['South Africa'],Eswatini (formerly Swaziland),0.0,"['Eswatini (formerly Swaziland)', 'Eswatini (formerly Swaziland)', 'Eswatini (formerly Swaziland)', 'Eswatini (formerly Swaziland)', 'Eswatini (formerly Swaziland)', 'Eswatini (formerly Swaziland)', 'Eswatini (formerly Swaziland)', 'Eswatini (formerly Swaziland)', 'Eswatini (formerly Swaziland)', 'Eswatini (formerly Swaziland)']",-0.0,which country has the highest hiv in africa?,-0.0028494491707533,False,0.32561809404461245,0,incorrect_high
train::10082,"['September\xa05,\xa02007']","September 5, 2007",1.0,"['September 5, 2007', 'September 5, 2007', 'September 5, 2007', 'September 5, 2007', 'September 5, 2007', 'September 5, 2007', 'September 5, 2007', 'September 5, 2007', 'September 5, 2007', 'September 5, 2007']",-0.0,when was the first apple ipod touch released?,-1.0539522171020508,True,0.32561809404461245,0,correct_high
train::10083,"['Erika Harold', 'Bubba Harsy', 'Kwame Raoul']",Erica R. Redmon and Elizabeth Rochford,0.0,"[""Eileen O'Neill Burke and Lori Lightfoot."", 'Erica R. Redmon and Elizabeth Rochford', 'Erica Redmon and Elizabeth Rochford', 'Erica Redmond and Elizabeth Rochford', 'Erica Redmon and Lori Wilcox.', 'Erica Redmon and Elizabeth Rochford', 'Erica Redmond and Elizabeth Rochford', 'Erica R. Redmon and Robert D. Berlin', 'Erica R. Redmon and Elizabeth ""Liz"" Rochford', 'Erica Redmond and Elizabeth Rochford.']",1.4978661367769952,who is running for illinois state's attorney?,-0.2255726605653762,False,0.32561809404461245,1,incorrect_low
train::10088,['four'],Five,0.0,"['Five', 'Five', 'Five', 'Five', 'Five', 'Five', 'Five', 'Five', 'Five', 'Five']",-0.0,what is the highest number of stars a general can have?,-0.3134812414646148,False,0.32561809404461245,0,incorrect_high
train::10090,['Sarojini Naidu'],Sarojini Naidu,1.0,"['Sarojini Naidu', 'Sarojini Naidu', 'Sarojini Naidu', 'Sarojini Naidu', 'Sarojini Naidu', 'Sarojini Naidu', 'Sarojini Naidu', 'Sarojini Naidu', 'Sarojini Naidu', 'Sarojini Naidu']",-0.0,the first indian woman to preside a session of indian national congress was?,-0.1604327857494354,True,0.32561809404461245,0,correct_high
train::10091,['pathologist'],Pathologist,1.0,"['Pathologist.', 'A pathologist.', 'Pathologist.', 'Pathologist', 'Pathologist', 'Pathologist', 'A pathologist.', 'Pathologist', 'Pathologist', 'Pathologist']",-0.0,who would be responsible for performing an autopsy on a cadaver?,-0.0005992047372274,True,0.32561809404461245,0,correct_high
train::10092,['Daylight saving time'],Daylight Saving Time (or Summer Time),1.0,"['Daylight Saving Time (or Summer Time)', 'Daylight Saving Time (or Summer Time)', 'Daylight Saving Time (or Summer Time)', 'Daylight Saving Time (or Summer Time)', 'Daylight Saving Time (or Summer Time)', 'Daylight Saving Time (or Summer Time)', 'Daylight Saving Time (or Summer Time)', 'Daylight Saving Time (or Summer Time)', 'Daylight Saving Time (or Summer Time)', 'Daylight Saving Time (or Summer Time)']",-0.0,what is it called when the time changes?,-0.0004172646440565,True,0.32561809404461245,0,correct_high
train::10094,['two-party system'],Coalition,0.0,"['Coalition', 'Coalition', 'Coalition', 'Coalition', 'Coalition', 'Coalition', 'Coalition', 'Coalition', 'Coalition', 'Coalition']",-0.0,agreement of two political parties to work together?,-0.0007339406292885,True,0.32561809404461245,0,correct_high
train::10095,['Biblica'],Biblica,1.0,"['Biblica', 'Biblica', 'Biblica', 'Biblica', 'Biblica', 'Biblica', 'Biblica.', 'Biblica', 'Biblica', 'Biblica.']",-0.0,who owns the copyright to the niv bible?,-0.0041047614067792,True,0.32561809404461245,0,correct_high
train::10099,['1968'],"October 1, 1968",1.0,"['October 1, 1968', 'October 1, 1968', 'October 1, 1968', 'October 1, 1968', 'October 1, 1968', 'October 1, 1968', 'October 1, 1968', 'October 1, 1968', 'October 1, 1968', 'October 1, 1968']",-0.0,when was night of the living dead released?,-0.1129536405205726,True,0.32561809404461245,0,correct_high
train::1010,['traditionally a calico Japanese Bobtail'],Bobtail (or Japanese Bobtail),1.0,"['Bobtail (or Japanese Bobtail)', 'Bobtail (or Japanese Bobtail)', 'Bobtail (or Japanese Bobtail)', 'Bobtail (or Japanese Bobtail)', 'Bobtail (or Japanese Bobtail)', 'Bobtail (or Japanese Bobtail)', 'Bobtail.', 'Japanese Bobtail', 'Bobtail (or Japanese Bobtail)', 'Bobtail.']",0.5004024235381879,what kind of cat is the maneki neko?,-0.0007365613128058,True,0.32561809404461245,1,correct_low
train::10100,['Lizzy Greene'],Lizzy Greene,1.0,"['Liza Koshy', 'Lizzy Greene', 'Lizzie Greene', 'Lizzy Greene', 'Lizzie Greene', 'Lizzy Greene', 'Lizzy Greene', 'Lizzy Greene', 'Lizzy Greene', 'Lizzy Greene']",0.3250829733914482,who plays dawn in nicky ricky dicky & dawn?,-0.3485728800296783,True,0.32561809404461245,0,correct_high
train::10101,"['December\xa02,\xa02017']",The show is finished; no new episodes are coming out.,0.0,"['The show is finished; no new episodes are coming out.', 'The show is finished; no new episodes are coming out.', 'The show is finished; no new episodes are coming out.', 'The show is finished; no new episodes are coming out.', 'The show is finished; no new episodes are coming out.', 'The show is finished; no new episodes are coming out.', 'The show is finished; no new episodes are coming out.', 'The show is finished; no new episodes are coming out.', 'The show is finished; no new episodes are coming out.', 'The show is finished; no new episodes are coming out.']",-0.0,when is the next episode of star vs. the forces of evil coming out?,-0.0059691970236599,False,0.32561809404461245,0,incorrect_high
train::10102,"['Football', 'basketball', 'baseball', 'soccer']","American football, baseball, basketball, and soccer.",0.0,"['American football, baseball, basketball, and ice hockey.', 'American football, baseball, basketball, and soccer.', 'American football, baseball, basketball, and soccer.', 'American football, baseball, basketball.', 'American football, baseball, basketball, and soccer.', 'American football, baseball, basketball, and ice hockey.', 'American football, baseball, basketball.', 'American football, basketball, baseball.', 'American football, baseball, basketball.', 'American football, baseball, basketball, and ice hockey.']",1.0888999753452238,what are the most popular sports in usa?,-0.0233117155730724,True,0.32561809404461245,1,correct_low
train::10103,['its shoulder patch'],Its distinctive red beret.,0.0,"['From its shoulder patch color.', 'From its distinctive patch.', 'Its distinctive red beret.', 'From its distinctive shoulder patch.', 'Its distinctive red beret.', 'From its distinctive shoulder patch.', 'From its distinctive shoulder patch.', 'Its distinctive red beret.', 'Its distinctive red beret.', 'From its distinctive shoulder patch.']",0.9433483923290392,how did the big red one get its name?,-5.5041937828063965,False,0.32561809404461245,1,incorrect_low
train::10108,['Amybeth McNulty'],Amybeth McNulty,1.0,"['Amybeth McNulty', 'Amybeth McNulty', 'Amybeth McNulty', 'Amybeth McNulty', 'Amybeth McNulty', 'Amybeth McNulty', 'Amybeth McNulty', 'Amybeth McNulty', 'Amybeth McNulty', 'Amybeth McNulty']",-0.0,who plays anne in ann with an e?,-0.0015355474315583,True,0.32561809404461245,0,correct_high
train::1011,['The Grinch'],The Grinch.,1.0,"['The Grinch.', 'The Grinch.', 'The Grinch.', 'The Grinch.', 'The Grinch.', 'The Grinch.', 'The Grinch.', 'The Grinch.', 'The Grinch.', 'The Grinch.']",-0.0,who does jim carrey play in the grinch?,-0.0008372138836421,True,0.32561809404461245,0,correct_high
train::10111,"['many state constitutions', 'state and federal laws']",The First Amendment.,0.0,"['The First Amendment.', 'The First Amendment.', 'The First Amendment.', 'The First Amendment.', 'The First Amendment.', 'The First Amendment.', 'The First Amendment.', 'The First Amendment.', 'The First Amendment.', 'The First Amendment.']",-0.0,where does the right to free speech come from?,-0.000174864733708,True,0.32561809404461245,0,correct_high
train::10113,['the second edition'],Third edition (1989) - ongoing updates online.,0.0,"['Third edition (1989) – ongoing updates online.', 'Third edition (1989) - ongoing updates online.', 'Third edition (1989) - ongoing updates online.', 'Third edition (1989) - ongoing updates online.', 'Third edition (1989) - ongoing updates online.', 'Third edition (1989) – ongoing updates online.', 'Third edition (1989) – ongoing updates online.', 'Third edition (1989) - ongoing updates online.', 'March 2023 (OED4)', 'Third edition (1989) - ongoing updates online.']",0.3250829733914482,what is the latest edition of the oxford english dictionary?,-0.1798174530267715,False,0.32561809404461245,0,incorrect_high
train::10115,"['Al Green', 'Mabon ""Teenie"" Hodges']",Al Green,1.0,"['Al Green', 'Al Green', 'Al Green', 'Al Green', 'Al Green', 'Al Green', 'Al Green', 'Al Green', 'Al Green', 'Al Green']",-0.0,who wrote the song take me to the river?,-0.0486729443073272,True,0.32561809404461245,0,correct_high
train::10116,['Brian Wilson'],Stevie Wonder,0.0,"['Stevie Wonder', 'Stevie Wonder', 'Stevie Wonder', 'Stevie Wonder', 'Stevie Wonder', 'Stevie Wonder', 'Stevie Wonder', 'Stevie Wonder', 'Stevie Wonder', 'Stevie Wonder']",-0.0,who sings lead on please let me wonder?,-0.0025200059171766,False,0.32561809404461245,0,incorrect_high
train::10117,['16 episodes'],93 minutes,0.0,"['93 minutes', '93 minutes.', '93 minutes', '93 minutes', '93 minutes', '93 minutes', '93 minutes.', '93 minutes', '93 minutes', '93 minutes.']",-0.0,the walking dead season 8 episode 1 is how long?,-0.011122134514153,False,0.32561809404461245,0,incorrect_high
train::10118,"['March 28, 2018']","March 29, 2018",1.0,"['March 29, 2018', 'March 29, 2018', 'March 29, 2018', 'March 29, 2018', 'March 29, 2018', 'March 29, 2018', 'March 29, 2018', 'March 29, 2018', 'March 29, 2018', 'March 29, 2018']",-0.0,when does suits season 7 part 2 start?,-0.0052824919112026,False,0.32561809404461245,0,incorrect_high
